State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8240991195830902	0.07260367443355982	0.00283629020912332	0.0036467159349098735	0.004424737772397509	0.08072589586791419	0.010868224683148037	4.2716121427221294E-4	3.68180301584856E-4	0.0
2	0.09356074111612758	0.7174792736944474	0.04177396783155526	0.12755528360972287	0.009748123340099477	0.0010634474536163911	8.641832265381471E-4	0.0015550875743721524	0.004415916314042683	0.0019839758394780147
3	0.0030236558737108746	0.03299560095286709	0.6785276310007363	0.14954601280924226	0.12766853696922875	0.002650245587864422	0.0	9.445014221072711E-6	0.0	0.005578871792129307
4	0.0010462924854415978	0.026649782683852832	0.041700188624919234	0.7049816440770131	8.865074529316683E-4	0.0	1.2284285749403147E-4	0.0	0.011428075799868114	0.21318466601847935
5	0.0022956499733507237	0.002330646058324974	0.052077111365826496	6.265542221922131E-4	0.7545936353825944	0.010690876068066462	4.059874700430693E-4	0.05842168399513992	0.007194799278554509	0.11136305618590744
6	0.06092863152205808	2.1897488974002494E-4	0.00179821956056383	0.0	0.020928743189117145	0.7308987922941652	0.17331060719976837	0.011795856060880482	1.2017528370693158E-4	0.0
7	0.002884265142476698	3.1733568261663414E-4	9.462886053897681E-7	1.0469660818992484E-4	2.139808155504179E-4	0.062386374361677474	0.90137759049281	0.03207379240422923	6.410182038440587E-4	0.0
8	3.436444420721296E-5	7.281603740147173E-5	7.226688211923396E-8	0.0	0.010367578469914044	0.0011234129938042434	0.008660791101293282	0.9748343359040199	0.003560446040703019	0.0013461827417745086
9	1.7972351303557808E-6	3.3571140422882694E-5	0.0	4.169285431693365E-4	1.5693388456100235E-4	1.5836267168973483E-6	2.642278293993918E-5	5.48934770455581E-4	0.997644104873824	0.0011697231427800939
10	0.0	5.241352232733383E-5	1.3260356849067846E-4	0.016242755792189856	0.006014882269217729	0.0	0.0	0.0	0.0023696787082289205	0.9751876661395454
